epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
87,12065,1.4356,0.96219,0.88829,0.45116,0.34592,0.34525,0.1985,1.4174,0.99016,0.89082,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,12277.6,1.44012,0.96323,0.88558,0.45903,0.34318,0.34419,0.19805,1.41645,0.99065,0.89074,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,12530.9,1.43632,0.95735,0.88637,0.45623,0.34523,0.34534,0.19849,1.41544,0.99005,0.89073,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,12781.8,1.43861,0.96036,0.88648,0.4602,0.34217,0.34485,0.19856,1.41567,0.98945,0.89075,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,13019.8,1.39711,0.93291,0.8886,0.45205,0.34085,0.3419,0.19659,1.41829,0.99223,0.89109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,13245.2,1.38514,0.91887,0.88484,0.44921,0.33895,0.34068,0.19629,1.42021,0.99247,0.89115,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,13473.1,1.38442,0.91712,0.88495,0.44766,0.34132,0.34071,0.19563,1.41971,0.99253,0.891,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,13784.6,1.38177,0.91122,0.88409,0.44689,0.34568,0.34242,0.19639,1.41939,0.99304,0.89125,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,13905.6,1.37559,0.90672,0.88375,0.45305,0.34091,0.34195,0.19601,1.42025,0.99316,0.89189,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,14054.9,1.37669,0.90362,0.88315,0.44772,0.34496,0.34168,0.19664,1.42085,0.99373,0.89196,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,14322.5,1.37187,0.90107,0.88364,0.44705,0.34654,0.34184,0.19637,1.4208,0.99316,0.89176,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,14610.8,1.37191,0.89716,0.88312,0.44856,0.34239,0.34209,0.19675,1.42057,0.99248,0.89157,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,14870.6,1.3694,0.89907,0.88317,0.44736,0.34313,0.34163,0.19663,1.42085,0.99225,0.89144,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,15112.2,1.36879,0.89613,0.88243,0.44681,0.34398,0.34126,0.19644,1.42085,0.99232,0.89147,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
